Guid,Timestamp,Distance,Network
0,0 days 00:00:00,57.271284253105414,mobile
0,0 days 00:00:00,57.271284253105414,mobile
0,0 days 00:00:00,57.271284253105414,mobile
0,0 days 00:00:00,57.271284253105414,fix
0,0 days 00:01:38,57.271284253105414,fix
0,0 days 00:01:48,57.271284253105414,fix
0,0 days 00:08:31,57.271284253105414,fix
0,0 days 00:08:31,57.271284253105414,fix
0,0 days 00:08:31,57.271284253105414,fix
0,0 days 00:17:37,57.271284253105414,fix
0,0 days 00:17:37,57.271284253105414,fix
0,0 days 00:17:47,57.271284253105414,fix
0,0 days 00:18:20,57.271284253105414,fix
0,0 days 00:21:05,57.271284253105414,fix
0,0 days 00:21:05,57.271284253105414,fix
0,0 days 00:21:15,57.271284253105414,fix
0,0 days 00:33:18,57.271284253105414,fix
0,0 days 00:33:18,57.271284253105414,fix
0,0 days 00:33:18,57.271284253105414,fix
0,0 days 00:51:45,57.271284253105414,fix
0,0 days 00:51:45,57.271284253105414,fix
0,0 days 00:51:55,57.271284253105414,fix
0,0 days 00:53:11,57.271284253105414,fix
0,0 days 00:53:12,57.271284253105414,fix
0,0 days 01:11:52,57.271284253105414,fix
0,0 days 01:11:52,57.271284253105414,fix
0,0 days 01:12:35,57.271284253105414,fix
0,0 days 01:12:35,57.271284253105414,fix
0,0 days 01:12:45,57.271284253105414,fix
0,0 days 01:22:09,57.271284253105414,fix
0,0 days 01:22:09,57.271284253105414,fix
0,0 days 01:22:09,57.271284253105414,fix
0,0 days 01:22:37,57.271284253105414,fix
0,0 days 01:22:37,57.271284253105414,fix
0,0 days 01:22:47,57.271284253105414,fix
0,0 days 01:23:30,57.271284253105414,fix
0,0 days 01:23:30,57.271284253105414,fix
0,0 days 10:38:45,57.271284253105414,fix
0,0 days 10:38:45,57.271284253105414,fix
0,0 days 10:38:55,57.271284253105414,fix
0,0 days 10:40:31,57.271284253105414,fix
0,0 days 10:40:31,57.271284253105414,fix
0,0 days 10:48:44,57.271284253105414,fix
0,0 days 10:48:44,57.271284253105414,fix
0,0 days 10:48:54,57.271284253105414,fix
0,0 days 11:10:45,57.271284253105414,fix
0,0 days 11:10:45,57.271284253105414,fix
0,0 days 11:10:45,57.271284253105414,fix
0,0 days 11:24:28,57.271284253105414,fix
0,0 days 11:24:38,57.271284253105414,fix
0,0 days 11:35:23,57.271284253105414,fix
0,0 days 11:35:23,57.271284253105414,fix
0,0 days 11:35:23,57.271284253105414,fix
0,0 days 11:38:01,57.271284253105414,fix
0,0 days 11:38:21,57.271284253105414,fix
0,0 days 11:39:14,57.271284253105414,fix
0,0 days 11:39:24,57.271284253105414,fix
0,0 days 11:40:03,57.271284253105414,fix
0,0 days 11:40:03,57.271284253105414,fix
0,0 days 11:42:10,57.271284253105414,fix
